date,symbol,strategy,close,rsi,adx,vol_ratio,roc10,is_new
2026-07-25,SDG,trending,6.63,68.1,38.8,2.53,6.25,True
2026-07-25,HENGYUAN,trending,1.54,68.5,40.6,2.13,32.76,True
2026-07-25,TMK,trending,2.61,66.4,28.9,2.1,14.47,True
2026-07-25,HHRG,trending,0.15,58.9,35.5,2.02,36.36,True
2026-07-25,SOP,trending,5.2,65.6,27.1,1.72,4.0,True
2026-07-25,AEMULUS,trending,0.385,73.5,44.2,1.6,16.67,True
2026-07-25,MEGAFB,trending,1.83,72.5,26.6,1.41,15.09,True
2026-07-25,VITROX,trending,8.0,60.6,31.0,1.4,8.25,True
2026-07-25,SFPTECH,trending,0.345,66.3,39.1,1.29,16.95,True
2026-07-25,LPI,trending,15.06,50.8,41.2,1.18,0.4,True
2026-07-25,YNHPROP,trending,0.4,72.0,45.2,1.17,40.35,True
2026-07-25,PBBANK,trending,5.11,58.4,27.2,1.15,4.5,True
2026-07-25,HIBISCS,trending,2.09,61.3,26.2,1.1,5.03,True
2026-07-25,HSPLANT,trending,2.44,63.2,42.0,1.08,3.83,True
2026-07-25,KINERGY,trending,0.405,69.2,25.4,1.07,5.19,True
2026-07-25,TIMWELL,trending,1.84,64.3,38.8,1.0,1.1,True
2026-07-25,GCB,trending,1.2,61.7,35.9,0.96,3.45,True
2026-07-25,UUE,trending,0.535,69.7,40.8,0.88,2.88,True
2026-07-25,INFOM,trending,1.44,69.1,42.3,0.79,0.7,True
2026-07-25,99SMART,trending,3.69,56.8,34.9,0.77,-0.27,True
2026-07-25,SAMAIDEN,trending,1.5,65.0,30.3,0.75,5.63,True
2026-07-25,SUNMED,trending,1.94,61.6,31.4,0.72,-0.51,True
2026-07-25,ECOSHOP,trending,1.49,64.5,40.9,0.71,-0.67,True
2026-07-25,AMS,trending,0.455,63.0,27.7,0.65,0.0,True
2026-07-25,ICENTS,trending,0.62,61.7,41.6,0.64,12.73,True
2026-07-25,PA,trending,0.205,70.3,29.4,0.57,28.12,True
2026-07-25,PENTA,trending,5.04,59.0,29.5,0.56,7.01,True
2026-07-25,GENP,trending,5.61,62.0,44.9,0.46,2.37,True
2026-07-25,TAANN,trending,5.82,69.4,32.9,0.42,1.93,True
2026-07-25,BMGREEN,trending,1.87,58.8,31.2,0.41,3.31,True
2026-07-25,DNEX,trending,0.455,58.1,35.6,0.39,4.6,True
2026-07-25,L&G,trending,0.17,60.6,25.8,0.31,3.03,True
2026-07-25,HEGROUP,trending,0.57,60.1,47.3,0.28,-3.39,True
2026-07-25,KEEMING,trending,1.81,58.3,53.6,0.25,-2.16,True
2026-07-25,CHB,trending,1.81,66.8,58.3,0.22,5.23,True
2026-07-25,VIS,trending,0.355,61.8,52.2,0.2,-2.74,True
2026-07-25,SPRITZER,trending,2.89,52.8,26.4,0.18,-2.36,True
2026-07-25,MKH,trending,1.96,75.0,90.2,0.13,0.51,True
2026-07-25,AIMFLEX,early_uptrend,0.125,75.1,30.9,6.64,56.25,True
2026-07-25,MTTSL,early_uptrend,0.975,54.9,12.2,1.45,3.72,True
2026-07-25,TSH,early_uptrend,1.23,59.1,23.1,1.38,2.5,True
2026-07-25,AIMFLEX,reversal,0.125,75.1,30.9,6.64,56.25,True
2026-07-25,GASMSIA,reversal,5.25,55.2,22.7,2.51,3.96,True
2026-07-25,PANAMY,reversal,5.99,52.9,50.8,0.69,6.96,True
2026-07-25,DIALOG,reversal,1.99,55.4,22.2,0.58,5.85,True
2026-07-25,KJTS,gaining_momentum,0.905,77.0,26.4,2.71,24.83,True
2026-07-25,WTK,gaining_momentum,0.94,79.1,31.0,2.57,16.05,True
2026-07-25,TMK,gaining_momentum,2.61,66.4,28.9,2.1,14.47,True
2026-07-26,SDG,trending,6.63,68.1,38.8,2.53,6.25,False
2026-07-26,HENGYUAN,trending,1.54,68.5,40.6,2.13,32.76,False
2026-07-26,TMK,trending,2.61,66.4,28.9,2.1,14.47,False
2026-07-26,HHRG,trending,0.15,58.9,35.5,2.02,36.36,False
2026-07-26,SOP,trending,5.2,65.6,27.1,1.72,4.0,False
2026-07-26,AEMULUS,trending,0.385,73.5,44.2,1.6,16.67,False
2026-07-26,MEGAFB,trending,1.83,72.5,26.6,1.41,15.09,False
2026-07-26,VITROX,trending,8.0,60.6,31.0,1.4,8.25,False
